TKT,VER,N1A,N1B,N1C,N2A,N2B,N2C,N3A,N3B,N3C,N4A,N4B,N4C,N5A,N5B,N5C,I1,I2,I3,I4,I5,I6,I7,I8,P,U
210,21234,,6,14,,30,18,,40,35,,50,53,,73,62,base02.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner02.ai,nonwinner05.ai,1,1
145,939,,2,9,,24,26,,33,35,,48,56,,67,66,base02.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner06.ai,nonwinner03.ai,1,1
87,10947,,9,3,,,19,,44,38,,48,55,,72,63,base02.ai,free02_a.ai,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner04.ai,nonwinner06.ai,1,1
222,13009,,6,8,,18,28,,44,31,,56,54,,62,72,base02.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner03.ai,nonwinner09.ai,1,1
335,20206,4,,,,18,26,37,,,48,,,62,,,base03.ai,eeyore02.ai,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner07.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner03.ai,nonwinner05.ai,1,2
42,3702,,6,9,,25,,,35,45,,54,52,,,72,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,2
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner07.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner09.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner07.ai,1,2
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,2
298,12982,2,,,,22,29,37,,,60,,,,69,70,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner08.ai,1,2
324,6387,,4,11,30,,,34,,,57,,,73,,,base03.ai,eeyore01.ai,,,,,,,1,2
241,20235,14,,,,,,35,,,,50,52,71,,,base03.ai,free02.ai,eeyore04.ai,,,,,,1,2
106,17242,,6,5,,25,21,,37,32,,49,59,,,73,base02.ai,free05_a.ai,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner09.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner04.ai,1,2
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,3
261,10637,10,,,,,,32,,,57,,,74,,,base01.ai,free02.ai,,,,,,,1,3
38,5657,,2,6,,26,,,,45,,48,56,,61,68,base02.ai,free02_b.ai,free03_a.ai,,,,,,1,3
394,9192,9,,,20,,,38,,,47,,,73,,,base01.ai,,,,,,,,1,3
223,3819,,3,7,,27,17,,36,37,,52,48,,62,72,base02.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner05.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner07.ai,nonwinner02.ai,1,3
106,17242,,6,5,,25,21,,37,32,,49,59,,,73,base02.ai,free05_a.ai,,,,,,,1,3
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,3
326,10376,,5,13,28,,,39,,,55,,,75,,,base03.ai,eeyore01.ai,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner08.ai,nonwinner06.ai,1,3
