TKT,VER,N1A,N1B,N1C,N2A,N2B,N2C,N3A,N3B,N3C,N4A,N4B,N4C,N5A,N5B,N5C,I1,I2,I3,I4,I5,I6,I7,I8,P,U
1,19358,,10,12,,,17,,,33,,52,49,,69,,base02.ai,free02_a.ai,free03_a.ai,free05_b.ai,,,,,1,1
2,21055,,13,,,22,,,43,37,,58,53,,,71,base02.ai,free01_b.ai,free02_b.ai,free05_a.ai,,,,,1,1
3,14550,,,5,,28,,,36,44,,46,51,,70,,base02.ai,free01_a.ai,free02_b.ai,free05_b.ai,,,,,1,1
4,13178,,14,11,,20,,,39,,,49,59,,,63,base02.ai,free02_b.ai,free03_b.ai,free05_a.ai,,,,,1,1
5,23991,,8,9,,19,,,34,40,,,58,,,75,base02.ai,free02_b.ai,free04_a.ai,free05_a.ai,,,,,1,1
6,20868,,11,,,20,,,35,33,,55,51,,,74,base02.ai,free01_b.ai,free02_b.ai,free05_a.ai,,,,,1,1
7,14026,,15,3,,25,,,31,,,56,49,,,69,base02.ai,free02_b.ai,free03_b.ai,free05_a.ai,,,,,1,1
8,553,,,5,,16,,,45,32,,58,50,,,73,base02.ai,free01_a.ai,free02_b.ai,free05_a.ai,,,,,1,1
9,7379,,,5,,25,,,45,31,,53,47,,,69,base02.ai,free01_a.ai,free02_b.ai,free05_a.ai,,,,,1,1
10,18338,,15,,,,29,,42,44,,50,60,,71,,base02.ai,free01_b.ai,free02_a.ai,free05_b.ai,,,,,1,1
11,21528,,5,11,,,21,,,44,,52,54,,69,,base02.ai,free02_a.ai,free03_a.ai,free05_b.ai,,,,,1,1
12,7787,,14,,,,20,,42,35,,57,47,,,71,base02.ai,free01_b.ai,free02_a.ai,free05_a.ai,,,,,1,1
13,764,,5,,,,17,,38,43,,60,46,,,75,base02.ai,free01_b.ai,free02_a.ai,free05_a.ai,,,,,1,1
14,26576,,,2,,,16,,41,38,,57,53,,61,,base02.ai,free01_a.ai,free02_a.ai,free05_b.ai,,,,,1,1
15,22379,,,15,,30,,,37,45,,46,57,,,69,base02.ai,free01_a.ai,free02_b.ai,free05_a.ai,,,,,1,1
16,1592,,12,14,,16,,,,38,,54,48,,66,,base02.ai,free02_b.ai,free03_a.ai,free05_b.ai,,,,,1,1
17,7212,,,15,,25,,,44,39,,57,58,,,68,base02.ai,free01_a.ai,free02_b.ai,free05_a.ai,,,,,1,1
18,16195,,,10,,17,,,32,41,,46,51,,,63,base02.ai,free01_a.ai,free02_b.ai,free05_a.ai,,,,,1,1
19,7293,,4,,,,21,,35,41,,60,58,,,74,base02.ai,free01_b.ai,free02_a.ai,free05_a.ai,,,,,1,1
20,25659,,13,10,,16,,,34,,,54,48,,,73,base02.ai,free02_b.ai,free03_b.ai,free05_a.ai,,,,,1,1
21,17260,4,,,,,,,,,59,,,,,,base01.ai,free02.ai,free03.ai,free05.ai,,,,,1,1
22,23251,,,,,,,36,,,60,,,,,,base01.ai,free01.ai,free02.ai,free05.ai,,,,,1,1
23,23449,7,,,,,,,,,54,,,,,,base01.ai,free02.ai,free03.ai,free05.ai,,,,,1,1
24,24597,7,,,,,,,,,49,,,,,,base01.ai,free02.ai,free03.ai,free05.ai,,,,,1,1
25,9579,,,,,,,38,,,50,,,,,,base01.ai,free01.ai,free02.ai,free05.ai,,,,,1,1
26,7837,,2,9,,20,,,37,36,,59,47,,,64,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
27,626,,8,4,,,21,,39,33,,50,48,,67,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
28,9957,,5,3,,19,,,40,39,,59,46,,,71,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
29,2567,,3,5,,,21,,34,39,,47,51,,69,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
30,711,,2,7,,22,,,37,36,,55,50,,,62,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
31,16957,,10,,,,24,,33,44,,53,47,,70,62,base02.ai,free01_b.ai,free02_a.ai,,,,,,1,1
32,18311,,2,11,,27,,,34,40,,46,51,,,62,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
33,16227,,7,,,,16,,31,43,,51,55,,71,64,base02.ai,free01_b.ai,free02_a.ai,,,,,,1,1
34,3236,,1,7,,,16,,31,33,,46,48,,68,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
35,11733,,13,12,,,18,,36,34,,50,53,,63,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
36,4496,,1,6,,24,,,31,40,,60,59,,,64,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
37,26103,,9,6,,,20,,36,43,,50,57,,69,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
38,5657,,2,6,,26,,,,45,,48,56,,61,68,base02.ai,free02_b.ai,free03_a.ai,,,,,,1,1
39,6890,,7,2,,,23,,42,38,,55,52,,71,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
40,22838,,4,6,,19,,,43,38,,49,54,,,66,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
41,20858,,5,3,,18,,,34,40,,57,48,,,75,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
42,3702,,6,9,,25,,,35,45,,54,52,,,72,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
43,2134,,8,4,,,30,,42,37,,54,51,,64,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
44,24132,,1,3,,,16,,45,34,,55,59,,73,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
45,4401,,15,10,,,22,,40,34,,60,55,,67,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
46,14125,,13,5,,29,,,37,40,,55,60,,,69,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
47,10934,,4,10,,,17,,42,36,,56,55,,72,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
48,23377,,7,1,,,19,,34,32,,52,56,,66,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
49,6962,,3,5,,20,,,33,35,,50,46,,,62,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
50,17801,,7,8,,,17,,35,33,,59,52,,68,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
51,1791,,13,9,,,27,,39,42,,46,52,,75,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
52,26,,15,3,,30,,,45,33,,60,48,,,63,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
53,4551,,,8,,20,,,44,33,,53,47,,63,69,base02.ai,free01_a.ai,free02_b.ai,,,,,,1,1
54,4245,,9,15,,,23,,36,31,,48,52,,64,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
55,3616,,15,3,,17,,,34,31,,46,50,,,65,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
56,15414,15,,,,,,,38,45,,51,55,,,,base03.ai,free02.ai,eeyore03.ai,eeyore04.ai,free05.ai,,,,1,1
57,4668,,4,9,,,,,32,36,53,,,,,,base03.ai,eeyore01.ai,free02.ai,eeyore03.ai,free05.ai,,,,1,1
58,24752,3,,,,,,,32,41,,47,54,,,,base03.ai,free02.ai,eeyore03.ai,eeyore04.ai,free05.ai,,,,1,1
59,12882,15,,,,,,,37,44,,48,54,,,,base03.ai,free02.ai,eeyore03.ai,eeyore04.ai,free05.ai,,,,1,1
60,12690,,9,13,,,,,35,39,53,,,,,,base03.ai,eeyore01.ai,free02.ai,eeyore03.ai,free05.ai,,,,1,1
61,22617,,10,9,,30,,,35,31,,59,56,,70,61,base02.ai,free02_b.ai,,,,,,,1,1
62,19149,,2,4,,,29,,36,39,,52,54,,72,75,base02.ai,free02_a.ai,,,,,,,1,1
63,16978,,2,8,,,23,,39,36,,49,52,,69,68,base02.ai,free02_a.ai,,,,,,,1,1
64,5484,,9,6,,,26,,42,44,,48,49,,66,71,base02.ai,free02_a.ai,,,,,,,1,1
65,7863,,4,13,,18,26,,33,31,,52,49,,,70,base02.ai,free05_a.ai,,,,,,,1,1
66,5191,,1,9,,,27,,39,41,,50,48,,70,75,base02.ai,free02_a.ai,,,,,,,1,1
67,18668,,10,15,,,19,,31,43,,51,57,,61,74,base02.ai,free02_a.ai,,,,,,,1,1
68,19136,,4,8,,23,26,,35,45,,56,49,,,72,base02.ai,free05_a.ai,,,,,,,1,1
69,3328,,1,4,,16,,,37,43,,56,52,,61,67,base02.ai,free02_b.ai,,,,,,,1,1
70,22302,,2,15,,27,26,,34,40,,47,52,,63,,base02.ai,free05_b.ai,,,,,,,1,1
71,24835,,14,5,,,26,,37,41,,56,50,,73,74,base02.ai,free02_a.ai,,,,,,,1,1
72,6604,,4,1,,22,18,,35,44,,54,52,,62,,base02.ai,free05_b.ai,,,,,,,1,1
73,4843,,8,1,,29,,,32,39,,49,60,,62,65,base02.ai,free02_b.ai,,,,,,,1,1
74,20389,,13,5,,17,20,,34,40,,58,56,,62,,base02.ai,free05_b.ai,,,,,,,1,1
75,17063,,10,12,,27,,,38,39,,47,55,,67,69,base02.ai,free02_b.ai,,,,,,,1,1
76,12080,,14,9,,,22,,37,39,,51,56,,65,61,base02.ai,free02_a.ai,,,,,,,1,1
77,1047,,13,1,,,23,,37,43,,50,59,,64,72,base02.ai,free02_a.ai,,,,,,,1,1
78,17888,,9,1,,,28,,43,41,,54,55,,62,72,base02.ai,free02_a.ai,,,,,,,1,1
79,20116,,3,2,,26,,,32,36,,48,57,,63,66,base02.ai,free02_b.ai,,,,,,,1,1
80,3191,,8,12,,30,28,,42,33,,58,46,,64,,base02.ai,free05_b.ai,,,,,,,1,1
81,1159,,9,1,,25,30,,42,39,,59,55,,,73,base02.ai,free05_a.ai,,,,,,,1,1
82,15887,,6,1,,,29,,43,32,,55,48,,63,74,base02.ai,free02_a.ai,,,,,,,1,1
83,1595,,2,6,,,30,,39,41,,47,48,,66,67,base02.ai,free02_a.ai,,,,,,,1,1
84,6072,,4,15,,,19,,40,43,,57,51,,62,70,base02.ai,free02_a.ai,,,,,,,1,1
85,6389,,2,10,,22,,,34,33,,50,58,,65,61,base02.ai,free02_b.ai,,,,,,,1,1
86,10505,,6,12,,,29,,43,37,,47,56,,72,65,base02.ai,free02_a.ai,,,,,,,1,1
87,10947,,9,3,,,19,,44,38,,48,55,,72,63,base02.ai,free02_a.ai,,,,,,,1,1
88,7970,,8,2,,27,24,,35,41,,50,54,,,74,base02.ai,free05_a.ai,,,,,,,1,1
89,15873,,7,2,,22,,,38,42,,51,59,,61,67,base02.ai,free02_b.ai,,,,,,,1,1
90,19580,,12,1,,18,,,31,37,,51,55,,70,67,base02.ai,free02_b.ai,,,,,,,1,1
91,120,,2,13,,16,21,,33,31,,46,59,,,62,base02.ai,free05_a.ai,,,,,,,1,1
92,21756,,6,4,,25,,,35,40,,50,48,,71,65,base02.ai,free02_b.ai,,,,,,,1,1
93,17621,,12,13,,18,30,,40,32,,47,53,,65,,base02.ai,free05_b.ai,,,,,,,1,1
94,4676,,6,13,,21,,,39,43,,51,59,,68,62,base02.ai,free02_b.ai,,,,,,,1,1
95,10040,,4,14,,26,28,,41,32,,47,52,,67,,base02.ai,free05_b.ai,,,,,,,1,1
96,20152,,7,2,,24,25,,39,32,,59,53,,,70,base02.ai,free05_a.ai,,,,,,,1,1
97,26941,,5,15,,22,19,,42,40,,58,53,,70,,base02.ai,free05_b.ai,,,,,,,1,1
98,7226,,15,8,,17,30,,41,32,,47,52,,69,,base02.ai,free05_b.ai,,,,,,,1,1
99,22625,,6,1,,,16,,42,31,,58,49,,62,72,base02.ai,free02_a.ai,,,,,,,1,1
100,16430,,1,14,,,16,,33,40,,56,50,,70,61,base02.ai,free02_a.ai,,,,,,,1,1
101,11488,,1,6,,28,21,,35,42,,53,59,,72,,base02.ai,free05_b.ai,,,,,,,1,1
102,12565,,11,15,,25,17,,39,35,,50,53,,64,,base02.ai,free05_b.ai,,,,,,,1,1
103,21283,,5,2,,28,,,31,35,,56,49,,71,70,base02.ai,free02_b.ai,,,,,,,1,1
104,8629,,15,2,,29,,,42,38,,54,59,,71,72,base02.ai,free02_b.ai,,,,,,,1,1
105,15724,,7,12,,23,,,33,36,,56,47,,65,75,base02.ai,free02_b.ai,,,,,,,1,1
106,17242,,6,5,,25,21,,37,32,,49,59,,,73,base02.ai,free05_a.ai,,,,,,,1,1
107,6157,,8,3,,19,21,,38,43,,52,54,,65,,base02.ai,free05_b.ai,,,,,,,1,1
108,12595,,8,11,,27,18,,42,35,,46,48,,,69,base02.ai,free05_a.ai,,,,,,,1,1
109,10432,,9,5,,26,30,,38,42,,58,51,,65,,base02.ai,free05_b.ai,,,,,,,1,1
110,8902,,5,13,,28,25,,39,40,,56,49,,70,,base02.ai,free05_b.ai,,,,,,,1,1
111,5874,4,,,,,,34,,,53,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
112,3186,1,,,,,,36,,,54,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
113,3882,11,,,,,,,,,56,,,65,,,base01.ai,free02.ai,free03.ai,,,,,,1,1
114,18069,11,,,,,,39,,,48,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
115,1408,,,,,,,43,,,51,,,75,,,base01.ai,free01.ai,free02.ai,,,,,,1,1
116,26732,3,,,,,,43,,,47,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
117,24531,9,,,,,,36,,,58,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
118,4680,7,,,,,,34,,,53,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
119,16588,2,,,,,,34,,,55,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
120,1053,4,,,,,,44,,,56,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
121,7359,8,,,,17,24,37,,,,48,50,,,,base03.ai,eeyore02.ai,eeyore04.ai,free05.ai,,,,,1,1
122,15293,,2,3,,,,,34,39,54,,,61,,,base03.ai,eeyore01.ai,free02.ai,eeyore03.ai,,,,,1,1
123,2197,9,,,,22,25,38,,,,52,59,,,,base03.ai,eeyore02.ai,eeyore04.ai,free05.ai,,,,,1,1
124,474,13,,,,,,,37,41,,49,56,61,,,base03.ai,free02.ai,eeyore03.ai,eeyore04.ai,,,,,1,1
125,12076,6,,,,,,,31,45,49,,,,74,75,base03.ai,free02.ai,eeyore03.ai,eeyore05.ai,,,,,1,1
126,23479,,8,11,,,,37,,,56,,,,69,73,base03.ai,eeyore01.ai,free02.ai,eeyore05.ai,,,,,1,1
127,12660,,2,4,,18,30,41,,,49,,,,,,base03.ai,eeyore01.ai,eeyore02.ai,free05.ai,,,,,1,1
128,17041,14,,,,,,36,,,,52,55,,64,69,base03.ai,free02.ai,eeyore04.ai,eeyore05.ai,,,,,1,1
129,5194,4,,,,,,39,,,,52,55,,68,74,base03.ai,free02.ai,eeyore04.ai,eeyore05.ai,,,,,1,1
130,15195,,,,20,,,44,,,,47,55,,64,66,base03.ai,free01.ai,eeyore04.ai,eeyore05.ai,,,,,1,1
131,22489,,4,14,,29,22,,34,36,,57,58,,64,69,base02.ai,,,,,,,,1,1
132,20177,,11,6,,27,22,,41,36,,55,56,,64,63,base02.ai,,,,,,,,1,1
133,6942,,13,8,,26,16,,39,32,,56,55,,63,73,base02.ai,,,,,,,,1,1
134,16640,,11,12,,19,23,,31,38,,56,58,,72,67,base02.ai,,,,,,,,1,1
135,24422,,14,2,,17,24,,38,40,,58,47,,74,67,base02.ai,,,,,,,,1,1
136,5936,,7,15,,25,17,,32,39,,55,60,,67,74,base02.ai,,,,,,,,1,1
137,12574,,9,5,,21,20,,33,41,,59,47,,66,75,base02.ai,,,,,,,,1,1
138,17722,,3,1,,23,18,,38,40,,54,51,,61,64,base02.ai,,,,,,,,1,1
